Recommended_Action,Customer_Count
[Lapsed] Last Chance: Final win-back email + maximum discount,1813
Retain: Enrol in VIP loyalty program + send thank-you offer,946
[Lapsed] Recovery: Time-limited 30% win-back discount + feedback survey,824
Nudge: Reminder email + product recommendation + limited offer,615
Re-engage: Best-seller showcase email + 15% discount,473
Urgent Re-engage: 20% discount coupon + highlight new arrivals,374
Nurture: Monthly newsletter + loyalty point updates,224
Last Chance: Final win-back email + maximum discount,221
Early Alert: Personalised product recommendation based on past purchases,143
Monitor: Add to re-engagement campaign,105
Recovery: Time-limited 30% win-back discount + feedback survey,84
Re-activation: Welcome-back campaign + highlight what's new,38
[Lapsed] VIP Win-Back: Personal call + exclusive loyalty reward + free shipping,18
